"code_title","eng_text","kor_text"
"C86.6","Primary cutaneous CD30-positive T-cell proliferations","원발 피부성 CD30-양성 T-세포증식"
"C88","Malignant immunoproliferative diseases","악성 면역증식성 질환"
"C88.0","Waldenström macroglobulinaemia","왈덴스트룀 마크로클로불린혈증"
"C88.2","Other heavy chain disease","기타 중쇄병"
"C88.3","Immunoproliferative small intestinal disease","면역증식성 소장질환"
"C88.4","Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]","점막 관련 림프모양조직의 림프절외 변연부 B-세포림프종[MALT-lymphoma]"
"C88.7","Other malignant immunoproliferative diseases","기타 악성 면역증식성 질환"
"C88.9","Malignant immunoproliferative disease, unspecified","상세불명의 악성 면역증식성 질환"
"C90","Multiple myeloma and malignant plasma cell neoplasms","다발골수종 및 악성 형질세포신생물"
"C90.0","Multiple myeloma","다발골수종"
"C90.1","Plasma cell leukaemia","형질세포백혈병"
"C90.2","Extramedullary plasmacytoma","골수외 형질세포종"
"C90.3","Solitary plasmacytoma","고립성 형질세포종"
"C91","Lymphoid leukaemia","림프성 백혈병"
"C91.0","Acute lymphoblastic leukaemia [ALL]","급성 림프모구성 백혈병 [ALL]"
"C91.00","Precursor B-cell lymphoblastic leukaemia","전구체 B-세포 림프모구성 백혈병"
"C91.01","Precursor T-cell lymphoblastic leukaemia","전구체 T-세포 림프모구성 백혈병"
"C91.02","Mature T ALL","성숙 T 급성 림프모구성 백혈병"
"C91.08","Other and unspecified acute lymphoblastic leukaemia","기타 및 상세불명의 급성 림프모구성 백혈병"
"C91.1","Chronic lymphocytic leukaemia of B-cell type","B-세포형 만성 림프구성 백혈병"
"C91.3","Prolymphocytic leukaemia of B-cell type","B-세포형의 전림프구성 백혈병"
"C91.4","Hairy-cell leukaemia","털세포백혈병"
"C91.5","Adult T-cell lymphoma/leukaemia (HTLV-1-associated)","성인 T-세포림프종/백혈병(HTLV-1 관련)"
"C91.6","Prolymphocytic leukaemia of T-cell type","T-세포형의 전림프구성 백혈병"
"C91.7","Other lymphoid leukaemia","기타 림프성 백혈병"
"C91.8","Mature B-cell leukaemia Burkitt-type","성숙 B-세포백혈병, 버킷형"
"C91.9","Lymphoid leukaemia, unspecified","상세불명의 림프성 백혈병"
"C92","Myeloid leukaemia","골수성 백혈병"
"C92.0","Acute myeloblastic leukaemia [AML]","급성 골수모구성 백혈병"
"C92.00","AML with t(8;21)","t(8;21)을 동반한 급성 골수모구성 백혈병"
"C92.01","Acute myeloblastic leukaemia, inv(16)(p13;q22)","급성 골수모구성 백혈병, inv(16)(p13;q22)"
"C92.08","Other and unspecified acute myeloblastic leukaemia","기타 및 상세불명의 급성 골수모구성 백혈병"
"C92.1","Chronic myeloid leukaemia[CML], BCR/ABL-positive","만성 골수성 백혈병, BCR/ABL-양성"
"C92.2","Atypical chronic myeloid leukaemia [CML], BCR/ABL-negative","비정형적 만성 골수성 백혈병, BCR/ABL 음성"
"C92.3","Myeloid sarcoma","골수성 육종"
"C92.4","Acute promyelocytic leukaemia[PML]","급성 전골수구성 백혈병[PML]"
"C92.5","Acute myelomonocytic leukaemia","급성 골수단핵구성 백혈병"
"C92.6","Acute myeloid leukaemia with 11q23-abnormality","11q23이상을 동반한 급성 골수모구성 백혈병"
"C92.7","Other myeloid leukaemia","기타 골수성 백혈병"
"C92.8","Acute myeloid leukaemia with multi-lineage dysplasia","다세포계 형성이상을 동반한 급성 골수성 백혈병"
"C92.9","Myeloid leukaemia, unspecified","상세불명의 골수성 백혈병"
"C93","Monocytic leukaemia","단핵구성 백혈병"
"C93.0","Acute monoblastic/monocytic leukaemia","급성 단핵모구성/단핵구성 백혈병"
"C93.1","Chronic myelomonocytic leukaemia","만성 골수단핵구성 백혈병"
"C93.3","Juvenile myelomonocytic leukaemia","연소성 골수단핵구성 백혈병"
"C93.7","Other monocytic leukaemia","기타 단핵구성 백혈병"
"C93.9","Monocytic leukaemia, unspecified","상세불명의 단핵구성 백혈병"
"C95","Leukaemia of unspecified cell type","상세불명 세포형의 백혈병"
"C95.0","Acute leukaemia of unspecified cell type","상세불명 세포형의 급성 백혈병"
"C95.1","Chronic leukaemia of unspecified cell type","상세불명 세포형의 만성 백혈병"
"C95.7","Other leukaemia of unspecified cell type","상세불명 세포형의 기타 백혈병"
"C95.9","Leukaemia, unspecified","상세불명의 백혈병"
"C00-C97","Malignant neoplasms","악성 신생물"
"C97","Malignant neoplasms of independent (primary) multiple sites","독립된(원발성) 여러 부위의 악성 신생물"
"C97","Malignant neoplasms of independent (primary) multiple sites","독립된(원발성) 여러 부위의 악성 신생물"
"D03","Melanoma in situ","제자리흑색종"
"D03.0","Melanoma in situ of lip","입술의 제자리흑색종"
"D03.1","Melanoma in situ of eyelid, including canthus","안각을 포함한 눈꺼풀의 제자리흑색종"
"D03.2","Melanoma in situ of ear and external auricular canal","귀 및 외이도의 제자리흑색종"
"D03.3","Melanoma in situ of other and unspecified parts of face","얼굴의 기타 및 상세불명 부분의 제자리흑색종"
"D03.4","Melanoma in situ of scalp and neck","두피 및 목의 제자리흑색종"
"D03.5","Melanoma in situ of trunk","몸통의 제자리흑색종"
"D03.6","Melanoma in situ of upper limb, including shoulder","어깨를 포함한 팔의 제자리흑색종"
"D03.7","Melanoma in situ of lower limb, including hip","엉덩이를 포함한 다리의 제자리흑색종"
"D03.8","Melanoma in situ of other sites","기타 부위의 제자리흑색종"
"D03.9","Melanoma in situ, unspecified","상세불명의 제자리흑색종"
"D04","Carcinoma in situ of skin","피부의 제자리암종"
"D04.0","Skin of lip","입술의 피부"
"D04.1","Skin of eyelid, including canthus","안각을 포함한 눈꺼풀의 피부"
"D04.2","Skin of ear and external auricular canal","귀 및 외이도의 피부"
"D04.3","Skin of other and unspecified parts of face","얼굴의 기타 및 상세불명 부분의 피부"
"D04.4","Skin of scalp and neck","두피 및 목 피부"
"D04.5","Skin of trunk","몸통의 피부"
"D04.6","Skin of upper limb, including shoulder","어깨를 포함한 팔의 피부"
"D04.7","Skin of lower limb, including hip","엉덩이를 포함한 다리의 피부"
"D04.8","Skin of other sites","기타 부위의 피부"
"D04.9","Skin, unspecified","상세불명의 피부"
"D05","Carcinoma in situ of breast","유방의 제자리암종"
"D05.0","Lobular carcinoma in situ","소엽 제자리암종"
"D05.00","Lobular carcinoma in situ of breast, right","유방의 소엽 제자리암종, 오른쪽"
"D05.01","Lobular carcinoma in situ of breast, left","유방의 소엽 제자리암종, 왼쪽"
"D05.09","Lobular carcinoma in situ of breast, unspecified side","유방의 소엽 제자리암종, 상세불명 쪽"
"D05.1","Intraductal carcinoma in situ","관내 제자리암종"
"D05.10","Intraductal carcinoma in situ of breast, right","유방의 관내 제자리암종, 오른쪽"
"D05.11","Intraductal carcinoma in situ of breast, left","유방의 관내 제자리암종, 왼쪽"
"D05.19","Intraductal carcinoma in situ of breast, unspecified side","유방의 관내 제자리암종, 상세불명 쪽"
"D05.7","Other carcinoma in situ of breast","기타 유방의 제자리암종"
"D05.70","Other carcinoma in situ of breast, right","기타 유방의 제자리암종, 오른쪽"
"D05.71","Other carcinoma in situ of breast, left","기타 유방의 제자리암종, 왼쪽"
"D05.79","Other carcinoma in situ of breast, unspecified side","기타 유방의 제자리암종, 상세불명 쪽"
"D05.9","Carcinoma in situ of breast, unspecified","상세불명의 유방의 제자리암종"
"D05.90","Carcinoma in situ of breast, unspecified, right","상세불명의 유방의 제자리암종, 오른쪽"
"D05.91","Carcinoma in situ of breast, unspecified, left","상세불명의 유방의 제자리암종, 왼쪽"
"D05.99","Carcinoma in situ of breast, unspecified, unspecified side","상세불명의 유방의 제자리암종, 상세불명 쪽"
"D07","Carcinoma in situ of other and unspecified genital organs","기타 및 상세불명의 생식기관의 제자리암종"
"D07.0","Endometrium","자궁내막"
"D07.1","Vulva","외음"
"D07.2","Vagina","질"
"D07.3","Other and unspecified female genital organs","기타 및 상세불명의 여성생식기관"
"D07.4","Penis","음경"
"D07.5","Prostate","전립선"
"D07.6","Other and unspecified male genital organs","기타 및 상세불명의 남성생식기관"
"D10-D36","Benign neoplasms","양성 신생물"
"D10","Benign neoplasm of mouth and pharynx","입 및 인두의 양성 신생물"
"D10.0","Lip","입술"
"D10.1","Tongue","혀"
"D10.2","Floor of mouth","입바닥"
"D10.3","Other and unspecified parts of mouth","기타 및 상세불명 입 부분"
"D10.4","Tonsil","편도"
"D10.5","Other parts of oropharynx","입인두의 기타 부분"
"D10.6","Nasopharynx","비인두"
"D10.7","Hypopharynx","하인두"
"D10.9","Pharynx, unspecified","상세불명의 인두"
"D11","Benign neoplasm of major salivary glands","주침샘의 양성 신생물"
"D11.0","Parotid gland","귀밑샘"
"D11.7","Other major salivary glands","기타 주침샘"
"D11.9","Major salivary gland, unspecified","상세불명의 주침샘"
"D12","Benign neoplasm of colon, rectum, anus and anal canal","결장, 직장, 항문 및 항문관의 양성 신생물"
"D12.0","Caecum","맹장"
"D12.1","Appendix","충수"
"D12.2","Ascending colon","상행결장"
"D12.3","Transverse colon","횡행결장"
"D12.4","Descending colon","하행결장"
"D12.5","Sigmoid colon","구불결장"
"D12.6","Colon, unspecified","상세불명의 결장"
"D12.7","Rectosigmoid junction","직장구불결장접합부"
"D12.8","Rectum","직장"
"D12.9","Anus and anal canal","항문 및 항문관"
"D16","Benign neoplasm of bone and articular cartilage","골 및 관절연골의 양성 신생물"
"D16.0","Scapula and long bones of upper limb","견갑골 및 팔의 긴뼈"
"D16.1","Short bones of upper limb","팔의 짧은뼈"
"D16.2","Long bones of lower limb","다리의 긴뼈"
"D16.3","Short bones of lower limb","다리의 짧은뼈"
"D16.4","Bones of skull and face","두개골 및 안면골"
"D16.40","Other craniofacial bones","기타 두개안면골"
"D16.41","Maxillofacial bones","상악안면골"
"D16.42","Orbital bone","안와골"
"D16.5","Lower jaw bone","아래턱뼈"
"D16.6","Vertebral column","척주"
"D16.7","Ribs, sternum and clavicle","늑골, 흉골 및 쇄골"
"D16.8","Pelvic bones, sacrum and coccyx","골반골, 천골(薦骨) 및 미추"
"D16.9","Bone and articular cartilage, unspecified","상세불명의 뼈 및 관절연골"
"D18","Haemangioma and lymphangioma, any site","모든 부위의 혈관종 및 림프관종"
"D18.0","Haemangioma, any site","혈관종, 모든 부위"
"D18.00","Hemangioma of skin and subcutaneous tissue","피부 및 피하조직의 혈관종"
"D18.01","Hemangioma of intracranial structures","두개내 구조물의 혈관종"
"D18.02","Hemangioma of hepatobiliary system","간담도계의 혈관종"
"D18.03","Hemangioma of digestive system","소화계의 혈관종"
"D18.04","Hemangioma of ear, nose, mouth and throat","귀, 코, 입 및 목구멍의 혈관종"
"D18.08","Hemangioma of other sites","기타 부위의 혈관종"
"D18.09","Hemangioma unspecified site","상세불명 부위의 혈관종"
"D18.1","Lymphangioma, any site","림프관종, 모든 부위"
"D19","Benign neoplasm of mesothelial tissue","중피조직의 양성 신생물"
"D19.0","Mesothelial tissue of pleura","흉막의 중피조직"
"D19.1","Mesothelial tissue of peritoneum","복막의 중피조직"
"D19.7","Mesothelial tissue of other sites","기타 부위의 중피조직"
"D19.9","Mesothelial tissue, unspecified","상세불명의 중피조직"
"D20","Benign neoplasm of soft tissue of retroperitoneum and peritoneum","후복막 및 복막 연조직의 양성 신생물"
"D20.0","Retroperitoneum","후복막"
"D20.1","Peritoneum","복막"
"D21","Other benign neoplasms of connective and other soft tissue","결합조직 및 기타 연조직의 기타 양성 신생물"
"D21.0","Connective and other soft tissue of head, face and neck","머리, 얼굴 및 목의 결합조직 및 기타 연조직"
"D21.1","Connective and other soft tissue of upper limb, including shoulder","어깨를 포함한 팔의 결합조직 및 기타 연조직"
"D21.2","Connective and other soft tissue of lower limb, including hip","엉덩이를 포함한 다리의 결합조직 및 기타 연조직"
"D21.3","Connective and other soft tissue of thorax","흉부의 결합조직 및 기타 연조직"
"D21.4","Connective and other soft tissue of abdomen","복부의 결합조직 및 기타 연조직"
"D21.5","Connective and other soft tissue of pelvis","골반의 결합조직 및 기타 연조직"
"D21.6","Connective and other soft tissue of trunk, unspecified","상세불명의 몸통의 결합조직 및 기타 연조직"
"D21.9","Connective and other soft tissue, unspecified","상세불명의 결합조직 및 기타 연조직"
"D22","Melanocytic naevi","멜라닌세포모반"
"D22.0","Melanocytic naevi of lip","입술의 멜라닌세포모반"
"D22.1","Melanocytic naevi of eyelid, including canthus","안각을 포함한 눈꺼풀의 멜라닌세포모반"
"D22.2","Melanocytic naevi of ear and external auricular canal","귀 및 외이도의 멜라닌세포모반"
"D22.3","Melanocytic naevi of other and unspecified parts of face","얼굴의 기타 및 상세불명 부분의 멜라닌세포모반"
"D22.4","Melanocytic naevi of scalp and neck","두피 및 목의 멜라닌세포모반"
"D22.5","Melanocytic naevi of trunk","몸통의 멜라닌세포모반"
"D22.6","Melanocytic naevi of upper limb, including shoulder","어깨를 포함한 팔의 멜라닌세포모반"
"D22.7","Melanocytic naevi of lower limb, including hip","엉덩이를 포함한 다리의 멜라닌세포모반"
"D22.9","Melanocytic naevi, unspecified","상세불명의 멜라닌세포모반"
"D23","Other benign neoplasms of skin","피부의 기타 양성 신생물"
"D23.0","Skin of lip","입술의 피부"
"D23.1","Skin of eyelid, including canthus","안각을 포함한 눈꺼풀의 피부"
"D23.2","Skin of ear and external auricular canal","귀 및 외이도의 피부"
"D23.3","Skin of other and unspecified parts of face","얼굴의 기타 및 상세불명 부분의 피부"
"D23.4","Skin of scalp and neck","두피 및 목의 피부"
"D23.5","Skin of trunk","몸통의 피부"
"D23.6","Skin of upper limb, including shoulder","어깨를 포함한 팔의 피부"
"D23.7","Skin of lower limb, including hip","엉덩이를 포함한 다리의 피부"
"D23.9","Skin, unspecified","상세불명의 피부"
"D25","Leiomyoma of uterus","자궁의 평활근종"
"D25.0","Submucous leiomyoma of uterus","자궁의 점막하 평활근종"
"D25.1","Intramural leiomyoma of uterus","자궁의 벽내 평활근종"
"D25.2","Subserosal leiomyoma of uterus","자궁의 장막하 평활근종"
"D25.9","Leiomyoma of uterus, unspecified","상세불명의 자궁의 평활근종"
"D26","Other benign neoplasms of uterus","자궁의 기타 양성 신생물"
"D26.0","Cervix uteri","자궁경부"
"D26.1","Corpus uteri","자궁체부"
"D26.7","Other parts of uterus","자궁의 기타 부분"
"D26.9","Uterus, unspecified","상세불명의 자궁"
"D27","Benign neoplasm of ovary","난소의 양성 신생물"
"D27.0","Right","오른쪽"
"D27.1","Left","왼쪽"
"D27.9","Unspecified side","상세불명 쪽"
"D29","Benign neoplasm of male genital organs","남성생식기관의 양성 신생물"
"D29.0","Penis","음경"
"D29.1","Prostate","전립선"
"D29.2","Testis","고환"
"D29.3","Epididymis","부고환"
"D29.4","Scrotum","음낭"
"D29.7","Other male genital organ","기타 남성생식기관"
"D29.9","Male genital organ, unspecified","상세불명의 남성생식기관"
"D31","Benign neoplasm of eye and adnexa","눈 및 부속기의 양성 신생물"
"D31.0","Conjunctiva","결막"
"D31.1","Cornea","각막"
"D31.2","Retina","망막"
"D31.3","Choroid","맥락막"
"D31.4","Ciliary body","섬모체"
"D31.5","Lacrimal gland and duct","눈물샘 및 눈물관"
"D31.6","Orbit, unspecified","상세불명의 안와"
"D31.9","Eye, unspecified","상세불명의 눈"
"D32","Benign neoplasm of meninges","수막의 양성 신생물"
"D32.0","Cerebral meninges","뇌막"
"D32.1","Spinal meninges","척수막"
"D32.9","Meninges, unspecified","상세불명의 수막"
"D33","Benign neoplasm of brain and other parts of central nervous system","뇌 및 중추신경계통의 기타 부분의 양성 신생물"
"D33.0","Brain, supratentorial","천막상 뇌"
"D33.1","Brain, infratentorial","천막하 뇌"
"D33.2","Brain, unspecified","상세불명의 뇌"
"D33.3","Cranial nerves","뇌신경"
"D33.4","Spinal cord","척수"
"D33.7","Other specified parts of central nervous system","기타 명시된 부분의 중추신경계통"
"D33.9","Central nervous system, unspecified","상세불명의 중추신경계통"
"D35","Benign neoplasm of other and unspecified endocrine glands","기타 및 상세불명의 내분비선의 양성 신생물"
"D35.0","Adrenal gland","부신"
"D35.1","Parathyroid gland","부갑상선"
"D35.2","Pituitary gland","뇌하수체"
"D35.3","Craniopharyngeal duct","두개인두관"
"D35.4","Pineal gland","송과선"
"D35.5","Carotid body","경동맥소체"
"D35.6","Aortic body and other paraganglia","대동맥소체 및 기타 부신경절"
"D35.7","Other specified endocrine glands","기타 명시된 내분비선"
"D35.8","Pluriglandular involvement","다선성 침범"
"D35.9","Endocrine gland, unspecified","상세불명의 내분비선"
"D37-D48","Neoplasms of uncertain or unknown behaviour","행동양식 불명 또는 미상의 신생물"
"D37","Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs","구강 및 소화기관의 행동양식 불명 또는 미상의 신생물"
"D37.0","Lip, oral cavity and pharynx","입술, 구강 및 인두"
"D37.1","Stomach","위"
"D37.2","Small intestine","소장"
"D37.3","Appendix","충수"
"D37.4","Colon","결장"
"D37.5","Rectum","직장"
"D37.6","Liver, gallbladder and bile ducts","간, 담낭 및 담관"
"D37.7","Other digestive organs","기타 소화기관"
"D37.9","Digestive organ, unspecified","상세불명의 소화기관"
"D38","Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs","중이, 호흡기관, 흉곽내기관의 행동양식 불명 또는 미상의 신생물"
"D38.0","Larynx","후두"
"D38.1","Trachea, bronchus and lung","기관, 기관지 및 폐"
"D38.2","Pleura","흉막"
"D38.3","Mediastinum","종격"
"D38.4","Thymus","흉선"
"D38.5","Other respiratory organs","기타 호흡기관"
"D38.6","Respiratory organ, unspecified","상세불명의 호흡기관"
"D39","Neoplasm of uncertain or unknown behaviour of female genital organs","여성생식기관의 행동양식 불명 또는 미상의 신생물"
"D39.0","Uterus","자궁"
"D39.1","Ovary","난소"
"D39.10","Right","오른쪽"
"D39.11","Left","왼쪽"
"D39.19","Unspecified side","상세불명 쪽"
"D39.2","Placenta","태반"
"D39.7","Other female genital organs","기타 여성생식기관"
"D39.9","Female genital organ, unspecified","상세불명의 여성생식기관"
"D43","Neoplasm of uncertain or unknown behaviour of brain and central nervous system","뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물"
"D43.0","Brain, supratentorial","천막상 뇌"
"D43.1","Brain, infratentorial","천막하 뇌"
"D43.2","Brain, unspecified","상세불명의 뇌"
"D43.3","Cranial nerves","뇌신경"
"D43.4","Spinal cord","척수"
"D43.7","Other parts of central nervous system","중추신경계통의 기타 부분"
"D43.9","Central nervous system, unspecified","상세불명의 중추신경계통"
"D44","Neoplasm of uncertain or unknown behaviour of endocrine glands","내분비선의 행동양식 불명 또는 미상의 신생물"
"D44.0","Thyroid gland","갑상선"
"D44.1","Adrenal gland","부신"
"D44.2","Parathyroid gland","부갑상선"
"D44.3","Pituitary gland","뇌하수체"
"D44.4","Craniopharyngeal duct","두개인두관"
"D44.5","Pineal gland","송과선"
"D44.6","Carotid body","경동맥소체"
"D44.7","Aortic body and other paraganglia","대동맥소체 및 기타 부신경절"
"D44.8","Pluriglandular involvement","다선성 침범"
"D44.9","Endocrine gland, unspecified","상세불명의 내분비선"
"D45","Polycythaemia vera","진성 적혈구증가증"
"D46","Myelodysplastic syndromes","골수형성이상증후군"
"D46.0","Refractory anaemia without ring sideroblasts, so stated","고리철적혈모구가 없는 불응성 빈혈"
"D46.1","Refractory anaemia with ring sideroblasts","고리철적혈모구가 있는 불응성 빈혈"
"D46.2","Refractory anaemia with excess of blasts [RAEB]","모세포과잉의 불응성 빈혈[RAEB]"
"D46.4","Refractory anaemia, unspecified","상세불명의 불응성 빈혈"
"D46.5","Refractory anaemia with multi-lineage dysplasia","다세포계 형성이상을 동반한 불응성 빈혈"
"D46.6","Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality","고립성 5q 결실 염색체이상을 동반한 골수형성이상증후군"
"D46.7","Other myelodysplastic syndromes","기타 골수형성이상증후군"
"D46.9","Myelodysplastic syndrome, unspecified","상세불명의 골수형성이상증후군"
"D47","Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue","림프, 조혈 및 관련 조직의 행동양식 불명 및 미상의 기타 신생물"
"D47.0","Histiocytic and mast cell tumours of uncertain and unknown behaviour","행동양식 불명 및 미상의 조직구 및 비만세포 종양"
"D47.1","Chronic myeloproliferative disease","만성 골수증식질환"
"D47.2","Monoclonal gammopathy of undetermined significance (MGUS)","미결정의 단클론감마글로불린병증"
"D47.3","Essential(haemorrhagic) thrombocythaemia","본태성(출혈성) 혈소판혈증"
"D47.4","Osteomyelofibrosis","골수섬유증"
"D47.5","Chronic eosinophilic leukaemia [hypereosinophilic syndrome]","만성 호산구성 백혈병[과호산구증후군]"
"D47.7","Other specified neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue","기타 명시된 림프, 조혈 및 관련 조직의 행동양식 불명 또는 미상의 신생물"
"D47.9","Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified","림프, 조혈 및 관련 조직의 행동양식 불명 또는 미상의 상세불명 신생물"
"C00-D48","Neoplasms, C00-D48","Ⅱ. 신생물"
"D37-D48","Neoplasms of uncertain or unknown behaviour","행동양식 불명 또는 미상의 신생물"
"D48","Neoplasm of uncertain or unknown behaviour of other and unspecified sites","기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물"
"D48.0","Bone and articular cartilage","뼈 및 관절연골"
"D48.1","Connective and other soft tissue","결합조직 및 기타 연조직"
"D48.2","Peripheral nerves and autonomic nervous system","말초신경 및 자율신경계통"
"D48.3","Retroperitoneum","후복막"
"D48.4","Peritoneum","복막"
"D48.5","Skin","피부"
"D48.6","Breast","유방"
"D48.60","Right","오른쪽"
"D48.61","Left","왼쪽"
"D48.69","Unspecified side","상세불명 쪽"
"D48.7","Other specified sites","기타 명시된 부위"
"D48.9","Neoplasm of uncertain or unknown behaviour, unspecified","상세불명의 행동양식 불명 또는 미상의 신생물"
"","",""
"D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism, D50-D89","Ⅲ. 혈액 및 조혈기관의 질환과 면역메커니즘을 침범한 특정 장애"
"D50-D53","Nutritional anaemias","영양성 빈혈"
"D50","Iron deficiency anaemia","철결핍빈혈"
"D50.0","Iron deficiency anaemia secondary to blood loss (chronic)","(만성) 실혈에 따른 이차성 철겹핍빈혈"
"D50.1","Sideropenic dysphagia","철결핍성 삼킴곤란"
"D50.8","Other iron deficiency anaemias","기타 철결핍빈혈"
"D50.9","Iron deficiency anaemia, unspecified","상세불명의 철결핍빈혈"
"D51","Vitamin B12 deficiency anaemia","비타민B12결핍빈혈"
"D51.0","Vitamin B12 deficiency anaemia due to intrinsic factor deficiency","내인인자 결핍에 의한 비타민B12결핍빈혈"
"D51.1","Vitamin B12 deficiency anaemia due to selective Vitamin B12 malabsorption with proteinuria","단백뇨를 동반한 선택적인 비타민 B12흡수장애에 의한 비타민B12결핍빈혈"
"D51.2","Transcobalamin II deficiency","트랜스코발라민II결핍"
"D51.3","Other dietary Vitamin B12 deficiency anaemia","기타 식사성 비타민B12결핍빈혈"
"D51.8","Other Vitamin B12 deficiency anaemias","기타 비타민B12결핍빈혈"
"D51.9","Vitamin B12 deficiency anaemia, unspecified","상세불명의 비타민B12결핍빈혈"
"D52","Folate deficiency anaemia","엽산결핍빈혈"
"D52.0","Dietary folate deficiency anaemia","식사성 엽산결핍빈혈"
"D52.1","Drug-induced folate deficiency anaemia","약물유발 엽산결핍빈혈"
"D52.8","Other folate deficiency anaemias","기타 엽산결핍빈혈"
"D52.9","Folate deficiency anaemias, unspecified","상세불명의 엽산결핍빈혈"
"D50-D53","Nutritional anaemias","영양성 빈혈"
"D53","Other nutritional anaemias","기타 영양성 빈혈"
"D53.0","Protein deficiency anaemia","단백질결핍빈혈"
"D53.1","Other megaloblastic anaemias, NEC","달리 분류되지 않은 기타 거대적모구빈혈"
"D53.2","Scorbutic anaemia","괴혈병빈혈"
"D53.8","Other specified nutritional anaemias","기타 명시된 영양성 빈혈"
"D53.9","Nutritional anaemia, unspecified","상세불명의 영양성 빈혈"
"D55-D59","Haemolytic anaemias","용혈성 빈혈"
"D55","Anaemia due to enzyme disorders","효소장애에 의한 빈혈"
"D55.0","Anaemia due to glucose-6- phosphate dehydrogenase [G6PD] deficiency","포도당-6-인산탈수소효소결핍에 의한 빈혈"
"D55.1","Anaemia due to other disorders of glutathione metabolism","기타 글루타티온 대사장애에 의한 빈혈"
"D55.2","Anaemia due to disorders of glycolytic enzymes","해당효소의 장애에 의한 빈혈"
"D55.3","Anaemia due to disorders of nucleotide metabolism","뉴클레오타이드 대사장애에 의한 빈혈"
"D55.8","Other anaemias due to enzyme disorders","기타 효소장애에 의한 빈혈"
"D55.9","Anaemia due to enzyme disorder, unspecified","상세불명의 효소장애에 의한 빈혈"
"D56","Thalassaemia","지중해빈혈"
"D56.0","Alpha thalassaemia","알파지중해빈혈"
"D56.1","Beta thalassaemia","베타지중해빈혈"
"D56.2","Delta-beta thalassaemia","델타-베타지중해빈혈"
"D56.3","Thalassaemia trait","지중해빈혈 소질"
"D56.4","Hereditary persistence of fetal haemoglobin [HPFH]","태아헤모글로빈의 유전적 존속"
"D56.8","Other thalassaemias","기타 지중해빈혈"
"D56.9","Thalassaemia, unspecified","상세불명의 지중해빈혈"
"D57","Sickle-cell disorders","낫적혈구장애"
"D57.0","Sickle-cell anaemia with crisis","발증을 동반한 낫적혈구빈혈"
"D57.1","Sickle-cell anaemia without crisis","발증을 동반하지 않은 낫적혈구빈혈"
"D57.2","Double heterozygous sicking disorders","이중이형접합낫적혈구장애"
"D57.3","Sickle-cell trait","낫적혈구 소질"
"D57.8","Other sickle-cell disorders","기타 낫적혈구장애"
"D58","Other hereditary haemolytic anaemias","기타 유전성 용혈성 빈혈"
"D58.0","Hereditary spherocytosis","유전성 구상적혈구증"
"D58.1","Hereditary elliptocytosis","유전성 타원형적혈구증"
"D58.2","Other haemoglobinopathies","기타 헤모글로빈병증"
"D58.8","Other specified hereditary haemolytic anaemias","기타 명시된 유전성 용혈성 빈혈"
"D58.9","Hereditary haemolytic anaemia, unspecified","상세불명의 유전성 용혈성 빈혈"
"D55-D59","Haemolytic anaemias","용혈성 빈혈"
"D59","Acquired haemolytic anaemia","후천성 용혈성 빈혈"
"D59.0","Drug-induced autoimmune haemolytic anaemia","약물유발 자가면역성 용혈성 빈혈"
"D59.1","Other autoimmune haemolytic anaemias","기타 자가면역성 용혈성 빈혈"
"D59.2","Drug-induced nonautoimmune haemolytic anaemia","약물유발 비자가면역성 용혈성 빈혈"
"D59.3","Haemolytic-uraemic syndrome","용혈-요독증후군"
"D59.4","Other nonautoimmune haemolytic anaemias","기타 비자가면역성 용혈성 빈혈"
"D59.5","Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli]","발작성 야간헤모글로빈뇨"
"D59.6","Haemoglobinuria due to haemolysis from other external causes","기타 외인에 기인한 용혈에 의한 헤모글로빈뇨"
"D59.8","Other acquired haemolytic anaemias","기타 후천성 용혈성 빈혈"
"D59.9","Acquired haemolytic anaemia, unspecified","상세불명의 후천성 용혈성 빈혈"
"D61","Other aplastic anaemias","기타 무형성빈혈"
"D61.0","Constitutional aplastic anaemia","체질성 무형성빈혈"
"D61.1","Drug-induced aplastic anaemia","약물유발 무형성빈혈"
"D61.2","Aplastic anaemia due to other external agents","기타 외부 요인에 의한 무형성빈혈"
"D61.3","Idiopathic aplastic anaemia","특발성 무형성빈혈"
"D61.8","Other specified aplastic anaemias","기타 명시된 무형성빈혈"
"D61.9","Aplastic anaemia, unspecified","상세불명의 무형성빈혈"
"D62","Acute posthaemorrhagic anaemia","급성 출혈후 빈혈"
"D63*","Anaemia in chronic diseases classified elsewhere","달리 분류된 만성 질환에서의 빈혈"
