,Unnamed: 0,icd_code,sum,icd_eng,icd_kor,symptom,group_name
149,149,I47,15,Paroxysmal tachycardia,발작성 빈맥,호흡곤란||가슴 두근거림||어지러움,기타 형태의 심장병
150,150,I48,274,Atrial fibrillation and flutter,심방세동 및 조동,피로감||어지러움||실신||가슴 답답||호흡곤란||가슴 두근거림||빈맥,기타 형태의 심장병
151,151,I49,33,Other cardiac arrhythmias,기타 심장부정맥,말초의 허혈||어지러움||실신||환부 통증||청색증||환부 부종||가슴 두근거림||피부궤양,기타 형태의 심장병
152,152,I50,74,Heart failure,심부전,두통||야뇨증||심부전||청색증||호흡곤란||불면증||소변량 감소||울혈성 심부전||빈맥,기타 형태의 심장병
153,153,I51,6,Complications and ill-defined descriptions of heart disease,심장병의 불명확한 기록 및 합병증,말초의 허혈||어지러움||실신||환부 통증||청색증||환부 부종||가슴 두근거림||피부궤양,기타 형태의 심장병
154,154,I60,4,Subarachnoid haemorrhage,지주막하출혈,반신마비||오심||감각 이상||의식 변화||구토||두통||의식 저하||경부 강직||혼수||심정지||안구내 출혈||호흡곤란||뇌전증 발작||경련||눈꺼풀 처짐증,뇌혈관질환
155,155,I61,7,Intracerebral haemorrhage,뇌내출혈,구토||의식 변화||두통||편마비||어지러움||고혈압,뇌혈관질환
156,156,I63,5,Cerebral infarction,뇌경색증,반신마비||시야장애||어지러움||의식 변화||언어장애,뇌혈관질환
157,157,I64,11,"Stroke, not specified as haemorrhage or infarction",출혈 또는 경색증으로 명시되지 않은 뇌졸중,발음 이상||복시||구토||의식 변화||두통||삼키기 곤란||어지러움||반신마비||시력 감소||시야장애||언어장애||운동장애||의식 저하||마비,뇌혈관질환
158,158,I65,7,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,눈꺼풀의 떨림||의식 저하||온몸이 떨림||손떨림||뇌전증 발작||경련,뇌혈관질환
159,159,I67,19,Other cerebrovascular diseases,기타 뇌혈관질환,발음 이상||복시||구토||의식 변화||두통||삼키기 곤란||어지러움||반신마비||시력 감소||시야장애||언어장애||운동장애||의식 저하||마비,뇌혈관질환
160,160,I69,19,Sequelae of cerebrovascular disease,뇌혈관질환의 후유증,발음 이상||복시||구토||의식 변화||두통||삼키기 곤란||어지러움||반신마비||시력 감소||시야장애||언어장애||운동장애||의식 저하||마비,뇌혈관질환
161,161,I70,45,Atherosclerosis,죽상경화증,무증상||관련 장기의 일시적 기능장애||말초의 허혈||말초 신경장애||가슴 통증||저림||말초 통증,"동맥, 세동맥 및 모세혈관의 질환"
162,162,I71,4,Aortic aneurysm and dissection,대동맥동맥류 및 박리,오심||헛배||복부의 박동감||저혈량 쇼크||구토||어깨의 통증||요통||실신||복부팽만감||목의 통증||돌연사||목 주변 부종||성대 이상||쇼크||가슴 통증||기침||복부 통증||요관 폐쇄,"동맥, 세동맥 및 모세혈관의 질환"
163,163,I82,3,Other venous embolism and thrombosis,기타 정맥의 색전증 및 혈전증,환부 부종||청색증||피부궤양||말초의 허혈||환부 통증,"달리 분류되지 않은 정맥, 림프관 및 림프절의 질환"
164,164,I87,17,Other disorders of veins,정맥의 기타 장애,말초의 허혈||어지러움||실신||환부 통증||청색증||환부 부종||가슴 두근거림||피부궤양,"달리 분류되지 않은 정맥, 림프관 및 림프절의 질환"
165,165,I95,71,Hypotension,저혈압,자율신경장애||무증상||어지러움||두통,순환계통의 기타 및 상세불명의 장애
166,166,I97,31,"Postprocedural disorders of circulatory system, NEC",달리 분류되지 않은 순환계통의 처치후 장애,말초의 허혈||어지러움||실신||환부 통증||청색증||환부 부종||가슴 두근거림||피부궤양,순환계통의 기타 및 상세불명의 장애
167,167,J00,13,Acute nasopharyngitis[common cold],급성 비인두염[감기],삼키기 곤란||목소리 변화||기침||목의 이물감||목의 통증,급성 상기도감염
168,168,J02,18,Acute pharyngitis,급성 인두염,삼키기 곤란||목소리 변화||기침||목의 이물감||목의 통증,급성 상기도감염
169,169,J06,762,Acute upper respiratory infections of multiple and unspecified sites,다발성 및 상세불명 부위의 급성 상기도감염,콧물||코막힘||두통||피로감||목의 통증||재채기||열||기침,급성 상기도감염
170,170,J09,4,Influenza due to identified zoonotic or pandemic influenza virus,확인된 동물매개 또는 범유행 인플루엔자바이러스에 의한 인플루엔자,설사||편도선 비대||구토||두통||근육통||콧물||목의 통증||식욕부진||오한||열||기침||가래||고막 충혈,인플루엔자 및 폐렴
171,171,J10,14,Influenza due to identified seasonal influenza virus,확인된 계절성 인플루엔자바이러스에 의한 인플루엔자,설사||편도선 비대||구토||두통||근육통||콧물||목의 통증||식욕부진||오한||열||기침||가래||고막 충혈,인플루엔자 및 폐렴
172,172,J11,71,"Influenza, virus not identified",바이러스가 확인되지 않은 인플루엔자,설사||편도선 비대||구토||두통||근육통||콧물||목의 통증||식욕부진||오한||열||기침||가래||고막 충혈,인플루엔자 및 폐렴
173,173,J12,2347,"Viral pneumonia, NEC",달리 분류되지 않은 바이러스폐렴,근육통||오한||열||기침||가슴 통증||가래,인플루엔자 및 폐렴
174,174,J13,10,Pneumonia due to Streptococcus pneumoniae,폐렴연쇄구균에 의한 폐렴,호흡곤란||오한||가슴 통증||열||객혈,인플루엔자 및 폐렴
175,175,J15,172,"Bacterial pneumonia, NEC",달리 분류되지 않은 세균성 폐렴,,인플루엔자 및 폐렴
176,176,J16,4,"Pneumonia due to other infectious organisms, NEC",달리 분류되지 않은 기타 감염성 병원체에 의한 폐렴,근육통||오한||열||기침||가슴 통증||가래,인플루엔자 및 폐렴
177,177,J17,71,,,흉수||오심||근육통||다발성 장기부전 증상||운동 시 호흡곤란||목의 통증||가래||객혈||피로감||체중감소||오한||호흡곤란||설사||심부전||두통||콧물||가슴 통증||구토||곤봉지||감기 증상||폐동맥 고혈압||열||기침||권태감,인플루엔자 및 폐렴
178,178,J18,437,"Pneumonia, organism unspecified",상세불명 병원체의 폐렴,흉수||오심||근육통||다발성 장기부전 증상||운동 시 호흡곤란||목의 통증||가래||객혈||피로감||체중감소||오한||호흡곤란||설사||심부전||두통||콧물||가슴 통증||구토||곤봉지||감기 증상||폐동맥 고혈압||열||기침||권태감,인플루엔자 및 폐렴
179,179,J20,18,Acute bronchitis,급성 기관지염,호흡곤란||가래||천명음||기침,기타 급성 하기도감염
180,180,J21,3,Acute bronchiolitis,급성 세기관지염,호흡곤란||가래||천명음||기침,기타 급성 하기도감염
181,181,J22,116,Unspecified acute lower respiratory infection,상세불명의 급성 하기도감염,콧물||코막힘||두통||피로감||목의 통증||재채기||열||기침,기타 급성 하기도감염
182,182,J40,1,"Bronchitis, not specified as acute or chronic",급성인지 만성인지 명시되지 않은 기관지염,콧물||코막힘||두통||피로감||목의 통증||재채기||열||기침,만성 하부호흡기질환
183,183,J41,1,Simple and mucopurulent chronic bronchitis,단순성 및 점액화농성 만성 기관지염,가래||객혈||기침||운동 시 호흡곤란,만성 하부호흡기질환
184,184,J43,20,Emphysema,폐기종,하지부종||가슴 답답||청색증||호흡곤란||가래||기침,만성 하부호흡기질환
185,185,J44,166,Other chronic obstructive pulmonary disease,기타 만성 폐색성 폐질환,가래||객혈||기침||운동 시 호흡곤란,만성 하부호흡기질환
186,186,J45,124,Asthma,천식,호흡곤란||가래||가슴 답답||천명음||기침,만성 하부호흡기질환
187,187,J47,17,Bronchiectasis,기관지확장증,곤봉지||체중감소||빈혈||기침||가래||천명음||객혈,만성 하부호흡기질환
188,188,J69,28,Pneumonitis due to solids and liquids,고체 및 액체에 의한 폐렴,흉수||오심||근육통||다발성 장기부전 증상||운동 시 호흡곤란||목의 통증||가래||객혈||피로감||체중감소||오한||호흡곤란||설사||심부전||두통||콧물||가슴 통증||구토||곤봉지||감기 증상||폐동맥 고혈압||열||기침||권태감,외부요인에 의한 폐질환
189,189,J80,425,Adult respiratory distress syndrome,성인호흡곤란증후군,호흡곤란||의식 저하||천명음||청색증,주로 간질에 영향을 주는 기타 호흡기질환
190,190,J81,11,Pulmonary oedema,폐부종,말초부종||기침||청색증||객혈||폐부종,주로 간질에 영향을 주는 기타 호흡기질환
191,191,J84,30,Other interstitial pulmonary diseases,기타 간질성 폐질환,곤봉지||체중감소||운동 시 호흡곤란||열||호흡곤란||기침||가래,주로 간질에 영향을 주는 기타 호흡기질환
192,192,J90,25,"Pleural effusion, NEC",달리 분류되지 않은 흉막삼출액,빈호흡||폐기능저하||불안||호흡곤란||기침||가슴 통증,흉막의 기타 질환
193,193,J91,15,,,빈호흡||폐기능저하||불안||호흡곤란||기침||가슴 통증,흉막의 기타 질환
194,194,J95,3,"Postprocedural respiratory disorders, NEC",달리 분류되지 않은 처치후 호흡장애,호흡곤란||의식 저하||천명음||청색증,호흡계통의 기타 질환
195,195,J96,3934,"Respiratory failure, NEC",달리 분류되지 않은 호흡부전,호흡곤란||의식 저하||천명음||청색증,호흡계통의 기타 질환
196,196,J98,90,Other respiratory disorders,기타 호흡장애,호흡곤란||의식 저하||천명음||청색증,호흡계통의 기타 질환
197,197,J99,3,,,호흡곤란||의식 저하||천명음||청색증,호흡계통의 기타 질환
198,198,K12,1,Stomatitis and related lesions,구내염 및 관련 병변,하얀 반점||식욕부진||열||구취||환부 통증,"구강, 침샘 및 턱의 질환"
199,199,K21,53,Gastro-oesophageal reflux disease,위-식도역류병,목소리 변화||오심||삼키기 곤란||방사통||가슴 쓰림||기침||가슴 통증,"식도, 위 및 십이지장의 질환"
200,200,K29,4,Gastritis and duodenitis,위염 및 십이지장염,오심||소화불량||구토||복부팽만감||식욕부진||열||트림||복부 통증||가슴 쓰림,"식도, 위 및 십이지장의 질환"
201,201,K35,1,Acute appendicitis,급성 충수염,설사||구토||오심||식욕부진||열||복부 통증,충수의 질환
202,202,K37,1,Unspecified appendicitis,상세불명의 충수염,설사||구토||오심||식욕부진||열||복부 통증,충수의 질환
203,203,K41,1,Femoral hernia,대퇴탈장,탈장 부위의 통증||복부팽만감||탈장 돌출||탈장,탈장
204,204,K44,5,Diaphragmatic hernia,횡격막탈장,호흡곤란||청색증||창백||복벽이 움푹 들어감||탈장,탈장
205,205,K46,1,Unspecified abdominal hernia,상세불명의 복벽탈장,탈장 부위의 통증||복부팽만감||탈장 돌출||탈장,탈장
206,206,K50,6,Crohn’s disease[regional enteritis],크론병[국소성 장염],설사||구토||관절염||발한||피로감||오심||관절통||체중감소||식욕부진||열||혈변||골다공증||복부 통증,비감염성 장염 및 결장염
207,207,K51,2,Ulcerative colitis,궤양성 대장염,설사||변비||탈수||체중감소||점액변||빈혈||열||혈변||복부 통증,비감염성 장염 및 결장염
208,208,K52,14,Other noninfective gastroenteritis and colitis,기타 비감염성 위장염 및 결장염,설사||구토||두통||탈수||복부팽만감||열||복부 통증,비감염성 장염 및 결장염
209,209,K55,2,Vascular disorders of intestine,장의 혈관장애,오심||구토||설사||저혈압||체중감소||빈혈||흡수장애||혈변||복부 통증,장의 기타 질환
210,210,K56,11,Paralytic ileus and intestinal obstruction without hernia,탈장이 없는 마비성 장폐색증 및 장폐색,설사||변비||구토||탈수||저혈압||복부팽만감||장폐색||복부 통증||빈맥,장의 기타 질환
211,211,K57,4,Diverticular disease of intestine,장의 게실병,위장관 출혈||변비||배변습관의 변화||복부팽만감||오한||열||복부 통증,장의 기타 질환
212,212,K59,63,Other functional intestinal disorders,기타 기능성 장장애,구토||설사||소화불량||변비||포만감||체중감소||복부팽만감||가슴 쓰림||트림||식후 불쾌감||복부 통증,장의 기타 질환
213,213,K62,15,Other diseases of anus and rectum,항문 및 직장의 기타 질환,설사||잔변감||오심||열||혈변||복부 통증,장의 기타 질환
214,214,K70,10,Alcoholic liver disease,알콜성 간질환,무증상||오심||위장관 출혈||복수||구토||간성뇌증||피로감||식욕부진||황달||기운없음||복부 통증||열,간의 질환
215,215,K71,11,Toxic liver disease,독성간질환,무증상||오심||구토||피로감||발진||관절통||식욕부진||황달||복부 통증||열,간의 질환
216,216,K72,16,"Hepatic failure, NEC",달리 분류되지 않은 간부전,간성뇌증||급성 신부전||뇌부종||출혈 경향성||다발성 장기부전 증상,간의 질환
217,217,K74,8,Fibrosis and cirrhosis of liver,간의 섬유증 및 경변증,오심||복수||피로감||체중감소||식욕부진||황달||피부소양감||피부 긴장도 저하||복부 불편감||간비대,간의 질환
218,218,K75,4,Other inflammatory liver diseases,기타 염증성 간질환,무증상||오심||전신 부종||복수||급성 신부전||근육통||다발성 장기부전 증상||식욕부진||진한 소변색||황달||소화불량||간부전||출혈 경향성||뇌부종||피로감||관절통||기운없음||설사||위장관 출혈||피부소양감||두통||콧물||열감||복부 불편감||복부 통증||구토||관절염||간성뇌증||발진||감기 증상||열||피부 긴장도 저하||권태감,간의 질환
219,219,K76,3,Other diseases of liver,간의 기타 질환,무증상||오심||전신 부종||복수||급성 신부전||근육통||다발성 장기부전 증상||식욕부진||진한 소변색||황달||소화불량||간부전||출혈 경향성||뇌부종||피로감||관절통||기운없음||설사||위장관 출혈||피부소양감||두통||콧물||열감||복부 불편감||복부 통증||구토||관절염||간성뇌증||발진||감기 증상||열||피부 긴장도 저하||권태감,간의 질환
220,220,K80,4,Cholelithiasis,담석증,악취가 나는 설사||오심||소화불량||구토||오한||열||복부 통증||황달,"담낭, 담도 및 췌장의 장애"
221,221,K82,1,Other diseases of gallbladder,담낭의 기타 질환,구토||오심||열||복부 통증,"담낭, 담도 및 췌장의 장애"
222,222,K83,4,Other diseases of biliary tract,담도의 기타 질환,식욕부진||피부소양감||황달||복부 통증||체중감소,"담낭, 담도 및 췌장의 장애"
223,223,K92,20,Other diseases of digestive system,소화계통의 기타 질환,구토||설사||소화불량||변비||포만감||체중감소||오심||복부팽만감||가슴 쓰림||트림||복부 불편감||식후 불쾌감||복부 통증,소화계통의 기타 질환
224,224,L40,4,Psoriasis,건선,발진||인설||고름,구진비늘장애
225,225,L83,2,Acanthosis nigricans,흑색극세포증,점 안에 다른 색 피부,피부 및 피하조직의 기타 장애
226,226,L89,54,Decubitus ulcer and pressure area,욕창궤양 및 압박부위,피부균열||피부색 변화||물집||열감||괴사||발적||환부 부종||피부궤양,피부 및 피하조직의 기타 장애
227,227,L97,16,"Ulcer of lower limb, NEC",달리 분류되지 않은 다리의 궤양,감각 이상||피부색 변화||시림||발가락의 변형||괴사||피부 건조||피부궤양||저림,피부 및 피하조직의 기타 장애
228,228,M08,2,Juvenile arthritis,연소성 관절염,무릎 부위 통증||다발성 관절염||관절잡음||관절 운동성 감소||압통||손마디가 뻣뻣해짐||관절통||관절 불안정증||관절의 경직||오한||뻣뻣함||발적||환부 부종||관절염||무릎 부위 부종||환부 통증||열감||운동장애||열,관절병증
229,229,M11,4,Other crystal arthropathies,기타 결정 관절병증,무릎 부위 통증||다발성 관절염||관절잡음||관절 운동성 감소||압통||손마디가 뻣뻣해짐||관절통||관절 불안정증||관절의 경직||오한||뻣뻣함||발적||환부 부종||관절염||무릎 부위 부종||환부 통증||열감||운동장애||열,관절병증
230,230,M14,2,,,무릎 부위 통증||다발성 관절염||관절잡음||관절 운동성 감소||압통||손마디가 뻣뻣해짐||관절통||관절 불안정증||관절의 경직||오한||뻣뻣함||발적||환부 부종||관절염||무릎 부위 부종||환부 통증||열감||운동장애||열,관절병증
231,231,M15,7,Polyarthrosis,다발관절증,무릎 부위 통증||관절잡음||무릎 부위 부종||관절 운동성 감소,관절병증
232,232,M16,4,Coxarthrosis [arthrosis of hip],고관절증,골반 통증||보행이상||관절 운동성 감소,관절병증
233,233,M17,6,Gonarthrosis[arthrosis of knee],무릎관절증,무릎 부위 통증||관절잡음||무릎 부위 부종||관절 운동성 감소,관절병증
234,234,M35,9,Other systemic involvement of connective tissue,결합조직의 기타 전신침범,레이노이드 현상||피부경화||소화불량||주먹을 쥐기 힘듬||관절염,전신결합조직장애
235,235,M45,5,Ankylosing spondylitis,강직척추염,골반 통증||어깨의 통증||요통||엉덩이 통증||관절의 경직||관절통||말초 통증,등병증
236,236,M54,20,Dorsalgia,등통증,굽은 등||요통||보행이상,등병증
237,237,M60,3,Myositis,근염,피부색 변화||근육통||삼키기 곤란||발진||부정맥||근육경련||피로감||종아리 근육의 비대||관절통||호흡곤란||피부궤양||울혈성 심부전||설사||근위축||척추 측만||가슴 통증||관절 구축||근력 약화||구토||안검하수||감기 증상||열||환부 부종,연조직장애
238,238,M62,30,Other disorders of muscle,근육의 기타 장애,피부색 변화||근위축||종아리 근육의 비대||근육경련||척추 측만||안검하수||관절통||피부궤양||발진||삼키기 곤란||환부 부종||호흡곤란||관절 구축||근력 약화||열,연조직장애
239,239,M79,46,"Other soft tissue disorders, NEC",달리 분류되지 않은 기타 연조직장애,오한||관절염||경부 운동 제한||근육통||두통||식욕부진||열감||압통||괴사||물집||열||반점||목 주변 부종,연조직장애
240,240,M80,11,Osteoporosis with pathological fracture,병적 골절을 동반한 골다공증,척추 후만||골절||신장 감소||관절통,골병증 및 연골병증
241,241,M86,2,Osteomyelitis,골수염,배뇨곤란||피로감||열감||오한||두통||근육경련||요통||체중감소||관절통||뼈의 변형||환부 부종||식욕부진||열||피부 긴장도 저하||권태감||마비,골병증 및 연골병증
242,242,M87,2,Osteonecrosis,골괴사,환부 부종||관절 운동성 감소||병적골절||환부 통증,골병증 및 연골병증
243,243,M89,1,Other disorders of bone,뼈의 기타 장애,덩어리가 만져짐||뼈의 통증||환부 통증,골병증 및 연골병증
244,244,M90,1,,,덩어리가 만져짐||뼈의 통증||환부 통증,골병증 및 연골병증
245,245,N00,1,Acute nephritic syndrome,급성 신염증후군,배뇨곤란||오심||구토||두통||근육통||요통||빈뇨||잔뇨감||오한||열||배뇨 시 통증,사구체질환
246,246,N05,1,Unspecified nephritic syndrome,상세불명의 신염증후군,배뇨곤란||오심||구토||두통||근육통||요통||빈뇨||잔뇨감||오한||열||배뇨 시 통증,사구체질환
247,247,N08,18,,,단백뇨||혈뇨||전신 부종,사구체질환
248,248,N10,24,Acute tubulo-interstitial nephritis,급성 세뇨관-간질신장염,요통||발진||관절통||단백뇨||혈뇨||열||고혈압,신세뇨관-간질질환
249,249,N11,5,Chronic tubulo-interstitial nephritis,만성 세뇨관-간질신장염,요통||발진||관절통||단백뇨||혈뇨||열||고혈압,신세뇨관-간질질환
250,250,N12,4,"Tubulo-interstitial nephritis, not specified as acute or chronic",급성 또는 만성으로 명시되지 않은 세뇨관-간질신장염,요통||발진||관절통||단백뇨||혈뇨||열||고혈압,신세뇨관-간질질환
251,251,N17,346,Acute renal failure,급성 신부전,오심||전신 부종||무뇨||구토||탈수||경련||산혈증||쇼크||소변량 감소||저혈량 쇼크,신부전
252,252,N18,247,Chronic kidney disease,만성 신장병,감각 이상||면역기능 이상||복수||만성 신부전||피로감||빈혈||혼수||식욕부진||고혈압||피부소양감||피부 긴장도 저하,신부전
253,253,N19,16,Unspecified kidney failure,상세불명의 신부전,오심||전신 부종||복수||식욕부진||고혈압||쇼크||저혈량 쇼크||피로감||혼수||피부소양감||얼굴부종||탈수||감각 이상||빈혈||산혈증||경련||구토||만성 신부전||신부전||면역기능 이상||무뇨||피부 긴장도 저하||소변량 감소,신부전
254,254,N20,1,Calculus of kidney and ureter,신장 및 요관의 결석,오심||옆구리 통증||혈뇨||구토,요로결석증
255,255,N25,1,Disorders resulting from impaired renal tubular function,세뇨관기능손상으로 인한 장애,요통||발진||관절통||단백뇨||혈뇨||열||고혈압,신장 및 요관의 기타 장애
256,256,N30,3,Cystitis,방광염,배뇨곤란||작열감||골반 통증||배뇨 시 통증||긴박뇨||빈뇨||탁한 소변||야간뇨||방광 팽만||복부 통증,비뇨계통의 기타 질환
257,257,N39,30,Other disorders of urinary system,비뇨계통의 기타 장애,요통||발진||관절통||단백뇨||혈뇨||열||고혈압,비뇨계통의 기타 질환
258,258,N40,29,Hyperplasia of prostate,전립선증식증,긴박뇨||배뇨곤란||생식기 통증||잔뇨감||골반 통증,남성생식기관의 질환
259,259,N41,13,Inflammatory diseases of prostate,전립선의 염증성 질환,긴박뇨||배뇨곤란||생식기 통증||잔뇨감||골반 통증,남성생식기관의 질환
260,260,O04,1,Medical abortion,의학적 유산,유방의 퇴행||비정상적 질출혈||골반 통증||멍||체중감소||커지지 않는 자궁||습관성 유산||비출혈||복부 통증,유산된 임신
261,261,O07,2,Failed attempted abortion,시도된 유산의 실패,유방의 퇴행||비정상적 질출혈||골반 통증||멍||체중감소||커지지 않는 자궁||습관성 유산||비출혈||복부 통증,유산된 임신
262,262,O08,1,Complications following abortion and ectopic and molar pregnancy,"유산, 자궁외임신 및 기태임신에 따른 합병증",유방의 퇴행||비정상적 질출혈||골반 통증||멍||체중감소||커지지 않는 자궁||습관성 유산||비출혈||복부 통증,유산된 임신
263,263,O09,2,,,Empty Icd Name,기타
264,264,O24,13,Diabetes mellitus in pregnancy,임신중 당뇨병,"무증상||구강호흡||피부색 변화||갈증||식욕부진||침침함||말초 통증||무감각||시림||피로감||체중감소||괴사||시야장애||피부 건조||기운없음||손, 발 감각 저하||피부궤양||저림||감각 이상||다뇨||의식 저하||소양감||복부 통증||구강건조||다음||구토||말초 신경장애||발가락의 변형||다식||피부 긴장도 저하",주로 임신에 관련된 기타 산모장애
265,265,O26,156,Maternal care for other conditions predominantly related to pregnancy,주로 임신에 관련된 기타 병태의 산모관리,간부전||복수||심부전||폐출혈||빈혈||황달||호흡곤란||비장비대||간비대,주로 임신에 관련된 기타 산모장애
266,266,O47,4,False labour,가진통,불규칙적 진통||비정상적인 진통,태아와 양막강 그리고 가능한 분만문제에 관련된 산모관리
267,267,O80,5,Single spontaneous delivery,단일자연분만,비정상적인 진통,분만
268,268,O82,5,Single delivery by caesarean section,제왕절개에 의한 단일분만,비정상적인 진통,분만
269,269,O99,17,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","달리 분류될 수 있지만 임신, 출산 및 산후기에 합병된 기타 산모질환",비정상적 질출혈||복부 압박 증상||복부경련||복부 통증,달리 분류되지 않은 기타 산과적 병태
270,270,P01,2,Fetus and newborn affected by maternal complications of pregnancy,임신의 산모합병증에 의해 영향을 받은 태아 및 신생아,비정상적 질출혈||복부 압박 증상||복부경련||복부 통증,"산모요인과 임신, 진통 및 분만의 합병증에 의해 영향을 받은 태아 및 신생아"
271,271,P07,1,"Disorders related to short gestation and low birth weight, NEC",달리 분류되지 않은 단기임신 및 저체중출산에 관련된 장애,비정상적 질출혈||복부 압박 증상||복부경련||복부 통증,임신기간 및 태아성장과 관련된 장애
272,272,P52,1,Intracranial nontraumatic haemorrhage of fetus and newborn,태아 및 신생아의 두개내 비외상성 출혈,비정상적 질출혈||복부 압박 증상||복부경련||복부 통증,태아 및 신생아의 출혈성 및 혈액학적 장애
273,273,Q21,3,Congenital malformations of cardiac septa,심장중격의 선천기형,수유 곤란||급성 신부전||피로감||운동 시 호흡곤란||청색증||호흡곤란||발육부전,순환계통의 선천기형
274,274,Q22,1,Congenital malformations of pulmonary and tricuspid valves,폐동맥판 및 삼첨판의 선천기형,전신 부종||복수||청색증||간비대||대사성 산증||심방 부정맥,순환계통의 선천기형
275,275,Q38,9,"Other congenital malformations of tongue, mouth and pharynx","혀, 입 및 인두의 기타 선천기형","발음 이상||수유 곤란||입술, 입천장의 기형||치아발달장애||얼굴형태의 이상",소화계통의 기타 선천기형
276,276,Q85,2,"Phakomatoses, NEC",달리 분류되지 않은 모반증,얼굴 한쪽의 반점||반점||털이 동반되기도 함||검은 점||갈색 피부 반점,기타 선천기형
277,277,Q90,1,Down’s syndrome,다운증후군,"납작한 코, 축 쳐진 귀||심혈관계 증상||안면 변형",달리 분류되지 않은 염색체이상
278,278,R00,80,Abnormalities of heart beat,심장박동의 이상,방사통||호흡곤란||가슴 통증,순환계통 및 호흡계통의 증상 및 징후
279,279,R03,16,"Abnormal blood-pressure reading, without diagnosis",진단명 없는 혈압수치이상,자율신경장애||무증상||어지러움||두통,순환계통 및 호흡계통의 증상 및 징후
280,280,R04,30,Haemorrhage from respiratory passages,기도출혈,호흡곤란||청색증||의식 변화||질식,순환계통 및 호흡계통의 증상 및 징후
281,281,R05,937,Cough,기침,기침||코막힘,순환계통 및 호흡계통의 증상 및 징후
282,282,R06,774,Abnormalities of breathing,호흡의 이상,호흡곤란||의식 저하||천명음||청색증,순환계통 및 호흡계통의 증상 및 징후
283,283,R07,95,Pain in throat and chest,목구멍 및 가슴의 통증,삼키기 곤란||목소리 변화||기침||목의 이물감||목의 통증,순환계통 및 호흡계통의 증상 및 징후
284,284,R09,186,Other symptoms and signs involving the circulatory and respiratory systems,순환계통 및 호흡계통의 기타 증상 및 징후,호흡곤란||의식 저하||천명음||청색증,순환계통 및 호흡계통의 증상 및 징후
285,285,R10,38,Abdominal and pelvic pain,복부 및 골반 통증,,소화계통 및 복부의 증상 및 징후
286,286,R11,80,Nausea and vomiting,구역 및 구토,,소화계통 및 복부의 증상 및 징후
287,287,R13,30,Dysphagia,삼킴곤란,오심||입 주변 부종||눈물흘림||구토||소양감||의식 저하||콧물||두드러기||설사||가슴 답답||호흡곤란||어지러움||숨막히는 느낌||복부 통증||빈맥,소화계통 및 복부의 증상 및 징후
288,288,R15,6,Faecal incontinence,대변실금,변실금,소화계통 및 복부의 증상 및 징후
289,289,R18,9,Ascites,복수,전신 부종||경정맥 확장||체중증가||호흡곤란||소변량 감소||탈장,소화계통 및 복부의 증상 및 징후
290,290,R19,92,Other symptoms and signs involving the digestive system and abdomen,소화계통 및 복부의 기타 증상 및 징후,구토||설사||소화불량||변비||포만감||체중감소||오심||복부팽만감||가슴 쓰림||트림||복부 불편감||식후 불쾌감||복부 통증,소화계통 및 복부의 증상 및 징후
291,291,R20,4,Disturbances of skin sensation,피부감각의 장애,피부 각질||피부균열||피부소양감,피부 및 피하조직의 증상 및 징후
292,292,R26,114,Abnormalities of gait and mobility,보행과 이동의 이상,보행이상,신경계통 및 근골격계통의 증상 및 징후
293,293,R27,4,Other lack of coordination,기타 협조결여,불안||의심||반복적인 동작,신경계통 및 근골격계통의 증상 및 징후
294,294,R29,73,Other symptoms and signs involving the nervous and musculoskeletal systems,신경계통 및 근골격계통의 기타 증상 및 징후,불안||의심||반복적인 동작,신경계통 및 근골격계통의 증상 및 징후
295,295,R31,10,Unspecified haematuria,상세불명의 혈뇨,옆구리 통증||하지부종||혈뇨||빈뇨||진한 소변색||열||배뇨 시 통증,비뇨계통의 증상 및 징후
296,296,R32,16,Unspecified urinary incontinence,상세불명의 요실금,소변이 샘||배뇨 시 통증||요통||긴박뇨||빈뇨||진한 소변색||복부 통증||악취,비뇨계통의 증상 및 징후
297,297,R33,22,Retention of urine,소변정체,소변을 볼 수 없음||방광 팽만||복부 통증,비뇨계통의 증상 및 징후
298,298,R34,23,Anuria and oliguria,무뇨 및 핍뇨,소변이 샘||배뇨 시 통증||요통||긴박뇨||빈뇨||진한 소변색||복부 통증||악취,비뇨계통의 증상 및 징후
299,299,R39,66,Other symptoms and signs involving the urinary system,비뇨계통의 기타 증상 및 징후,소변이 샘||배뇨 시 통증||요통||긴박뇨||빈뇨||진한 소변색||복부 통증||악취,비뇨계통의 증상 및 징후
300,300,R40,39,"Somnolence, stupor and coma","기면, 혼미 및 혼수",전신 부종||의식 저하||자세 불안정||서맥||혼수||무의식||인지장애||저혈압||감정 변화||저체온||불면증||권태감||기억장애||혼돈,"인지, 지각, 정서상태 및 행위에 관련된 증상 및 징후"
301,301,R41,117,Other symptoms and signs involving cognitive functions and awareness,인지기능 및 자각에 관련된 기타 증상 및 징후,우울||무관심||판단력장애||기억장애||언어장애,"인지, 지각, 정서상태 및 행위에 관련된 증상 및 징후"
302,302,R43,27,Disturbances of smell and taste,후각 및 미각 장애,후각장애,"인지, 지각, 정서상태 및 행위에 관련된 증상 및 징후"
