,icd_code,sum,icd_eng,icd_kor,symptom
91,F06,38,Other mental disorders due to brain damage and dysfunction and to physical disease,"뇌손상, 뇌기능이상 및 신체질환에 의한 기타 정신장애",오심||오한||복수||의식 변화||질식||환부 통증||발진||배뇨장애||황달||감각 과민||객혈||감각 이상||간부전||간비대||피로감||어지러움||청력장애||혼수||장마비||서맥||청색증||눈 주변 부종||호흡곤란||환부의 분비물||가슴 통증||두통||심부전||소양감||저혈압||폐출혈||빈혈||눈의 충혈||발적||이명||경련||서호흡||구토||물집||활력징후 이상||열||비장비대||기억장애
92,F07,8,"Personality and behavioural disorders due to brain disease, damage and dysfunction","뇌질환, 뇌손상 및 기능이상에 의한 인격 및 행동장애",방향감각 상실||실인증||판단력장애||우울||실행증||시력 감소||조급증||감정 변화||언어장애||기억장애||섬망
93,F10,38,Mental and behavioural disorders due to use of alcohol,알콜사용에 의한 정신 및 행동 장애,오심||오한||복수||의식 변화||질식||환부 통증||발진||배뇨장애||황달||감각 과민||객혈||감각 이상||간부전||간비대||피로감||어지러움||청력장애||혼수||장마비||서맥||청색증||눈 주변 부종||호흡곤란||환부의 분비물||가슴 통증||두통||심부전||소양감||저혈압||폐출혈||빈혈||눈의 충혈||발적||이명||경련||서호흡||구토||물집||활력징후 이상||열||비장비대||기억장애
94,F17,37,Mental and behavioural disorders due to use of tobacco,담배흡연에 의한 정신 및 행동 장애,오심||오한||복수||의식 변화||질식||환부 통증||발진||배뇨장애||황달||감각 과민||객혈||감각 이상||간부전||간비대||피로감||어지러움||청력장애||혼수||장마비||서맥||청색증||눈 주변 부종||호흡곤란||환부의 분비물||가슴 통증||두통||심부전||소양감||저혈압||폐출혈||빈혈||눈의 충혈||발적||이명||경련||서호흡||구토||물집||활력징후 이상||열||비장비대||기억장애
95,F20,8,Schizophrenia,조현병,와해된 언어||와해된 행동||무욕증||환각||피해망상||망상||정서적 둔마||무논리증
96,F22,4,Persistent delusional disorders,지속성 망상장애,수유 곤란||실신||청색증||호흡곤란||가슴 두근거림||발육부전||빈맥
97,F29,4,Unspecified nonorganic psychosis,상세불명의 비기질성 정신병,
98,F32,38,Depressive episode,우울에피소드,
99,F33,7,Recurrent depressive disorder,재발성 우울장애,당뇨||탈장 돌출||탈장 부위의 통증||관절 운동성 감소||어깨의 통증||복부팽만감||체중감소||환부 부종||팔의 길이가 달라짐||방사통||지방변||천명음||복부 통증||탈장
100,F34,1,Persistent mood [affective] disorders,지속성 기분[정동]장애,수유 곤란||실신||청색증||호흡곤란||가슴 두근거림||발육부전||빈맥
101,F41,57,Other anxiety disorders,기타 불안장애,비현실감||병원 쇼핑||어지러움||애착 상대와 분리 거부||불안||수면장애||가슴 두근거림||대인관계 어려움||질병에 대한 공포
102,F43,4,"Reaction to severe stress, and adjustment disorders",심한 스트레스에 대한 반응 및 적응장애,설사||변비||수면 무호흡||체중증가||악성종양발생||사춘기 지연||발한||서맥||열||저체온||호흡곤란||사시||경련||식욕증가
103,F79,1,Unspecified mental retardation,상세불명의 정신지체,정서장애||정신 지체||행동장애||언어장애
104,F84,1,Pervasive developmental disorders,전반발달장애,
105,G20,27,Parkinson’s disease,파킨슨병,자세이상||보행이상||자세 불안정||서동||경직||수면장애||떨림(진전)||손떨림
106,G30,31,Alzheimer’s disease,알츠하이머병,방향감각 상실||실인증||판단력장애||우울||실행증||시력 감소||조급증||감정 변화||언어장애||기억장애||섬망
107,G31,10,Other degenerative diseases of nervous system NEC,달리 분류되지 않은 신경계통의 기타 퇴행성 질환,방향감각 상실||하지의 근력약화||요통||판단력장애||감정 변화||무릎 부위 부종||하지 마비||다리 통증||우울||관절통||파행||실행증||방사통||저림||무릎 부위 통증||감각 이상||관절의 경직||시력 감소||조급증||섬망||실인증||관절 운동성 감소||언어장애||기억장애
108,G35,8,Multiple sclerosis,다발경화증,
109,G40,33,Epilepsy,뇌전증,눈꺼풀의 떨림||의식 저하||온몸이 떨림||손떨림||뇌전증 발작||경련
110,G45,7,Transient cerebral ischaemic attacks and related syndromes,일과성 뇌허혈발작 및 관련 증후군,감각 이상||안면마비||구토||관절 운동성 감소||골반 통증||어지러움||파행||열||언어장애
111,G47,112,Sleep disorders,수면장애,
112,G62,2,Other polyneuropathies,기타 다발신경병증,"손, 발 감각 저하||시림||저림"
113,G63,12,,,Empty Icd Name
114,G70,4,Myasthenia gravis and other myoneural disorders,중증근무력증 및 기타 근신경장애,
115,G81,20,Hemiplegia,편마비,
116,G82,7,Paraplegia and tetraplegia,하반신마비 및 사지마비,
117,G83,1,Other paralytic syndromes,기타 마비증후군,
118,G91,2,Hydrocephalus,수두증,수유 곤란||눈운동신경마비||축 늘어짐||구토||두통||서동||유두부종||시력 감소||연속동작의 느림||기억장애||떨림(진전)||근육강직||마비
119,G93,3,Other disorders of brain,뇌의 기타 장애,박동성 통증||뇌출혈||뇌전증 발작||편두통||두통
120,G94,3,,,Empty Icd Name
121,H25,4,Senile cataract,노년백내장,
122,H26,4,Other cataract,기타 백내장,복시||시력 감소||안구혼탁||눈부심
123,H31,2,Other disorders of choroid,맥락막의 기타 장애,"에너지가 적음||목소리 변화||오심||삼키기 곤란||무증상||근육의 뒤틀림||어지러움||발한||눈의 피로||사춘기 지연||복부팽만감||목의 통증||감각 이상||망상||온몸이 떨림||트림||나쁜 품행||이상한 소리를 냄||질병에 대한 공포||마비||비현실감||병원 쇼핑||죽음에 대한 공포||변비||우울||수면 무호흡||중심시력감소||청력장애||손의 통증||단백뇨||낮은 자존감||오한||가슴 답답||약물남용||저체온||거짓 증상 호소||호흡곤란||무관심||대인관계 어려움||근육강직||저림||사물이 찌그러져 보임||근육긴장||조절할 수 없는 충동감||설사||판단력장애||소화불량||두통||어깨의 통증||비정상적인 움직임||야만적 행위||근긴장의 이상||멍||서맥||얼굴형태의 이상||사경||고정된 믿음||불안||악성종양발생||식욕증가||사시||가슴 통증||숨막히는 느낌||경련||손떨림||읽기,쓰기 능력 부족||가슴 두근거림||우유부단함||의심||눈꺼풀의 떨림||체중증가||얼굴이 화끈거림||거품있는 소변||자살의 위험||반복적인 동작||직무 태만||시야장애||열||언어장애||피부 긴장도 저하||비관주의||기억장애||근육경련||눈꺼풀 처짐증"
124,H35,17,Other retinal disorders,기타 망막장애,
125,H36,12,,,Empty Icd Name
126,H40,12,Glaucoma,녹내장,두통||주변시야손상||중심시력감소||암점||눈의 통증||시력 감소
127,H47,1,Other disorders of optic[2nd] nerve and visual pathways,시[제2]신경 및 시각경로의 기타 장애,"에너지가 적음||목소리 변화||오심||삼키기 곤란||무증상||근육의 뒤틀림||어지러움||발한||눈의 피로||사춘기 지연||복부팽만감||목의 통증||감각 이상||망상||온몸이 떨림||트림||나쁜 품행||이상한 소리를 냄||질병에 대한 공포||마비||비현실감||병원 쇼핑||죽음에 대한 공포||변비||우울||수면 무호흡||중심시력감소||청력장애||손의 통증||단백뇨||낮은 자존감||오한||가슴 답답||약물남용||저체온||거짓 증상 호소||호흡곤란||무관심||대인관계 어려움||근육강직||저림||사물이 찌그러져 보임||근육긴장||조절할 수 없는 충동감||설사||판단력장애||소화불량||두통||어깨의 통증||비정상적인 움직임||야만적 행위||근긴장의 이상||멍||서맥||얼굴형태의 이상||사경||고정된 믿음||불안||악성종양발생||식욕증가||사시||가슴 통증||숨막히는 느낌||경련||손떨림||읽기,쓰기 능력 부족||가슴 두근거림||우유부단함||의심||눈꺼풀의 떨림||체중증가||얼굴이 화끈거림||거품있는 소변||자살의 위험||반복적인 동작||직무 태만||시야장애||열||언어장애||피부 긴장도 저하||비관주의||기억장애||근육경련||눈꺼풀 처짐증"
128,H53,4,Visual disturbances,시각장애,
129,H54,4,Visual impairment including blindness (binocular or monocular),실명을 포함한 시력장애(양안의 또는 단안의),피부균열||피부색 변화||물집||열감||괴사||발적||환부 부종||피부궤양
130,H65,2,Nonsuppurative otitis media,비화농성 중이염,환부의 분비물||고름||두통||어지러움||청력장애||귀에서 냄새가 남||이폐색감||열||난청||이명||귀의 통증
131,H92,1,Otalgia and effusion of ear,귀통증 및 귀의 삼출액,목소리 변화||호흡곤란||기침||식욕부진||빈맥
132,I06,1,Rheumatic aortic valve diseases,류마티스성 대동맥판질환,다발성 관절염||발진||열||결절||비출혈||복부 통증||빈맥
133,I07,6,Rheumatic tricuspid valve diseases,류마티스성 삼첨판질환,다발성 관절염||발진||열||결절||비출혈||복부 통증||빈맥
134,I10,884,Essential(primary) hypertension,본태성(원발성) 고혈압,무증상||위장관 출혈||구토||의식 변화||두통||편마비||어지러움||고혈압||단백뇨||빈혈||시야장애||혈소판감소||피로감||피부 긴장도 저하||호흡곤란||가슴 두근거림||복부 통증
135,I11,16,Hypertensive heart disease,고혈압성 심장병,구토||의식 변화||두통||편마비||어지러움||고혈압
136,I12,9,Hypertensive renal disease,고혈압성 신장병,구토||의식 변화||두통||편마비||어지러움||고혈압
137,I20,6,Angina pectoris,협심증,오심||어지러움||방사통||가슴 쓰림||호흡곤란||가슴 통증
138,I21,10,Acute myocardial infarction,급성 심근경색증,오심||창백||구토||발한||불안||호흡곤란||가슴 통증
139,I25,280,Chronic ischaemic heart disease,만성 허혈심장병,에너지가 적음||무증상||오심||복부 압박 증상||복수||후각 감소||골반 통증||어지러움||치아 벌어짐||환부 통증||복부팽만감||식욕부진||진한 소변색||비관주의||황달||코막힘||가래||객혈||마비||고혈압||가슴 답답||이명||치아 통증||고름||만성 신부전||잇몸염증||피로감||화농성 비루||안면통||관절통||붉은 색소 침착||긴박뇨||환부의 분비물||빈뇨||방사통||치아가 솟은 느낌||피부소양감||재채기||지방변||체중감소||생식기 통증||야간뇨||치아 흔들림||청력장애||배뇨곤란||설사||감각 이상||창백||소화불량||낮은 자존감||콧물||구취||빈혈||발적||복부 불편감||운동 시 호흡곤란||복부 통증||후각장애||권태감||당뇨||우유부단함||구토||혼수||귀에서 냄새가 남||토혈||배변습관의 변화||발진||면역기능 이상||잔뇨감||점액변||후비루||열||피부 긴장도 저하||기침||무맥||방광 팽만||귀의 통증
140,I26,54,Pulmonary embolism,폐색전증,발한||폐색전||실신||불안||호흡곤란||기침||가슴 통증||객혈||빈맥
141,I27,5,Other pulmonary heart diseases,기타 폐성 심장질환,무증상||피로감||어지러움||운동 시 호흡곤란||정신 지체||상동적 행동||언어장애||사회적 고립||호흡곤란||가래||기침
142,I33,2,Acute and subacute endocarditis,급성 및 아급성 심내막염,비정상적 질 분비물||오심||전신 부종||골반 통증||압통||근육통||발한||요통||다발성 관절염||청력장애||복부팽만감||식욕부진||진한 소변색||탈수||관절통||회색변||가래||결절||배뇨곤란||긴박뇨||이명||저혈량 쇼크||고름||피로감||어지러움||오한||고혈압||단백뇨||환부의 분비물||빈뇨||방사통||탁한 소변||통증 없는 부종||피부소양감||이폐색감||호흡곤란||쇼크||빈맥||설사||귀의 통증||창백||작열감||두통||배뇨 시 통증||콧물||소양감||열감||불안||산혈증||복부 불편감||가슴 통증||경련||복부 통증||비출혈||악취||구토||발진||잔뇨감||혈뇨||감기 증상||열||무뇨||피부 긴장도 저하||기침||권태감||천명음||소변량 감소||황달
143,I34,10,Nonrheumatic mitral valve disorders,비류마티스성 승모판장애,
144,I35,10,Nonrheumatic aortic valve disorders,비류마티스성 대동맥판장애,
145,I42,9,Cardiomyopathy,심근병증,피부 긴장도 저하||말초부종||가슴 두근거림||복수||운동 시 호흡곤란
146,I44,22,Atrioventricular and left bundle-branch block,방실차단 및 좌각차단,
147,I45,6,Other conduction disorders,기타 전도장애,무증상||가슴 두근거림||실신||호흡곤란
148,I46,33,Cardiac arrest,심장정지,
149,I47,15,Paroxysmal tachycardia,발작성 빈맥,오심||발한||황달||간비대||출혈 경향성||피로감||어지러움||오한||호흡곤란||가슴 두근거림||감각 이상||창백||가슴 통증||멍||정맥혈전||안구진탕||죽음에 대한 공포||숨막히는 느낌||구토||얼굴이 화끈거림||빈혈||온몸이 떨림||가슴 답답||손떨림||비장비대
150,I48,274,Atrial fibrillation and flutter,심방세동 및 조동,피로감||어지러움||실신||가슴 답답||호흡곤란||가슴 두근거림||빈맥
151,I49,33,Other cardiac arrhythmias,기타 심장부정맥,
152,I50,74,Heart failure,심부전,두통||야뇨증||심부전||청색증||호흡곤란||불면증||소변량 감소||울혈성 심부전||빈맥
153,I51,6,Complications and ill-defined descriptions of heart disease,심장병의 불명확한 기록 및 합병증,
154,I60,4,Subarachnoid haemorrhage,지주막하출혈,
155,I61,7,Intracerebral haemorrhage,뇌내출혈,구토||의식 변화||두통||편마비||어지러움||고혈압
156,I63,5,Cerebral infarction,뇌경색증,반신마비||시야장애||어지러움||의식 변화||언어장애
157,I64,11,"Stroke, not specified as haemorrhage or infarction",출혈 또는 경색증으로 명시되지 않은 뇌졸중,오심||의식 변화||근육통||발한||점상 출혈||눈의 자극감||식욕부진||고혈압||빈혈||마비||눈부심||피로감||어지러움||안구내 출혈||혼수||단백뇨||눈꼽||오한||요독증||저체온||호흡곤란||가슴 두근거림||경부 강직||빈맥||비문증||감각 이상||창백||다뇨||두통||의식 저하||복부경련||저혈압||눈의 피로||반신마비||시력 감소||눈의 충혈||혈소판감소||혈변||가슴 통증||뇌전증 발작||경련||복부 통증||비정상적 질출혈||구토||비출혈||토혈||편마비||발진||눈의 통증||심정지||눈꺼풀 처짐증||시야장애||열||설사||기침||권태감||혼돈
158,I65,7,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,무증상||전신 부종||복수||의식 변화||질식||압통||운동 시 호흡곤란||복부팽만감||환부의 분비물||황달||자율신경장애||가래||말초 통증||간비대||눈물흘림||말초의 허혈||눈꼽||피로감||흑색변||혼수||초록색 구토||청색증||호흡곤란||무의지증||저림||흉곽 팽윤||감각 이상||회색변||의식 저하||진한 소변색||시력 감소||가슴 통증||경련||대사성 산증||곤봉지||편측 사지의 감각소실||심방 부정맥||시야장애||운동 실어증||언어장애||비장비대||기침||천명음
159,I67,19,Other cerebrovascular diseases,기타 뇌혈관질환,
160,I69,19,Sequelae of cerebrovascular disease,뇌혈관질환의 후유증,
161,I70,45,Atherosclerosis,죽상경화증,무증상||관련 장기의 일시적 기능장애||말초의 허혈||말초 신경장애||가슴 통증||저림||말초 통증
162,I71,4,Aortic aneurysm and dissection,대동맥동맥류 및 박리,오심||헛배||시야장애||저혈량 쇼크||구토||골반 통증||어깨의 통증||요통||비정상적 질출혈||비문증||실신||자궁 수축||돌연사||광시증||사물이 찌그러져 보임||비정상적인 진통||복부 통증||요관 폐쇄
163,I82,3,Other venous embolism and thrombosis,기타 정맥의 색전증 및 혈전증,복수||의식 변화||발한||환부 통증||문맥성고혈압||객혈||말초 통증||말초의 허혈||어지러움||괴사||청색증||호흡곤란||피부궤양||저림||빈맥||저산소증||저혈압||반신마비||불안||실신||가슴 통증||출혈 경향성||폐색전||심정지||시야장애||언어장애||환부 부종||기침
164,I87,17,Other disorders of veins,정맥의 기타 장애,"에너지가 적음||목소리 변화||오심||삼키기 곤란||무증상||근육의 뒤틀림||어지러움||발한||눈의 피로||사춘기 지연||복부팽만감||목의 통증||감각 이상||망상||온몸이 떨림||트림||나쁜 품행||이상한 소리를 냄||질병에 대한 공포||마비||비현실감||병원 쇼핑||죽음에 대한 공포||변비||우울||수면 무호흡||중심시력감소||청력장애||손의 통증||단백뇨||낮은 자존감||오한||가슴 답답||약물남용||저체온||거짓 증상 호소||호흡곤란||무관심||대인관계 어려움||근육강직||저림||사물이 찌그러져 보임||근육긴장||조절할 수 없는 충동감||설사||판단력장애||소화불량||두통||어깨의 통증||비정상적인 움직임||야만적 행위||근긴장의 이상||멍||서맥||얼굴형태의 이상||사경||고정된 믿음||불안||악성종양발생||식욕증가||사시||가슴 통증||숨막히는 느낌||경련||손떨림||읽기,쓰기 능력 부족||가슴 두근거림||우유부단함||의심||눈꺼풀의 떨림||체중증가||얼굴이 화끈거림||거품있는 소변||자살의 위험||반복적인 동작||직무 태만||시야장애||열||언어장애||피부 긴장도 저하||비관주의||기억장애||근육경련||눈꺼풀 처짐증"
165,I95,71,Hypotension,저혈압,자율신경장애||무증상||어지러움||두통
166,I97,31,"Postprocedural disorders of circulatory system, NEC",달리 분류되지 않은 순환계통의 처치후 장애,"에너지가 적음||목소리 변화||오심||삼키기 곤란||무증상||근육의 뒤틀림||어지러움||발한||눈의 피로||사춘기 지연||복부팽만감||목의 통증||감각 이상||망상||온몸이 떨림||트림||나쁜 품행||이상한 소리를 냄||질병에 대한 공포||마비||비현실감||병원 쇼핑||죽음에 대한 공포||변비||우울||수면 무호흡||중심시력감소||청력장애||손의 통증||단백뇨||낮은 자존감||오한||가슴 답답||약물남용||저체온||거짓 증상 호소||호흡곤란||무관심||대인관계 어려움||근육강직||저림||사물이 찌그러져 보임||근육긴장||조절할 수 없는 충동감||설사||판단력장애||소화불량||두통||어깨의 통증||비정상적인 움직임||야만적 행위||근긴장의 이상||멍||서맥||얼굴형태의 이상||사경||고정된 믿음||불안||악성종양발생||식욕증가||사시||가슴 통증||숨막히는 느낌||경련||손떨림||읽기,쓰기 능력 부족||가슴 두근거림||우유부단함||의심||눈꺼풀의 떨림||체중증가||얼굴이 화끈거림||거품있는 소변||자살의 위험||반복적인 동작||직무 태만||시야장애||열||언어장애||피부 긴장도 저하||비관주의||기억장애||근육경련||눈꺼풀 처짐증"
167,J00,13,Acute nasopharyngitis[common cold],급성 비인두염[감기],비정상적 질 분비물||오심||전신 부종||골반 통증||압통||근육통||발한||요통||다발성 관절염||청력장애||복부팽만감||식욕부진||진한 소변색||탈수||관절통||회색변||가래||결절||배뇨곤란||긴박뇨||이명||저혈량 쇼크||고름||피로감||어지러움||오한||고혈압||단백뇨||환부의 분비물||빈뇨||방사통||탁한 소변||통증 없는 부종||피부소양감||이폐색감||호흡곤란||쇼크||빈맥||설사||귀의 통증||창백||작열감||두통||배뇨 시 통증||콧물||소양감||열감||불안||산혈증||복부 불편감||가슴 통증||경련||복부 통증||비출혈||악취||구토||발진||잔뇨감||혈뇨||감기 증상||열||무뇨||피부 긴장도 저하||기침||권태감||천명음||소변량 감소||황달
168,J02,18,Acute pharyngitis,급성 인두염,삼키기 곤란||목소리 변화||기침||목의 이물감||목의 통증
169,J06,762,Acute upper respiratory infections of multiple and unspecified sites,다발성 및 상세불명 부위의 급성 상기도감염,"점상 출혈||피부색 변화||삼키기 곤란||발진||배뇨장애||반상출혈||운동장애||시신경염||성기능 장애||몸살||안면마비||출혈 경향성||다리 통증||시림||피로감||흑색변||관절통||인지장애||호흡곤란||가슴 두근거림||피부궤양||저림||복시||감각 이상||창백||위장관 출혈||반신마비||빈혈||손, 발 감각 저하||안구진탕||반점||배변장애||근력 약화||복부 통증||보행이상||사지 마비||뼈의 통증||잦은 감염||혈뇨||열||손떨림||환부 부종||골다공증"
170,J09,4,Influenza due to identified zoonotic or pandemic influenza virus,확인된 동물매개 또는 범유행 인플루엔자바이러스에 의한 인플루엔자,피부균열||피부색 변화||물집||열감||괴사||발적||환부 부종||피부궤양
171,J10,14,Influenza due to identified seasonal influenza virus,확인된 계절성 인플루엔자바이러스에 의한 인플루엔자,오심||오한||복수||의식 변화||질식||환부 통증||발진||배뇨장애||황달||감각 과민||객혈||감각 이상||간부전||간비대||피로감||어지러움||청력장애||혼수||장마비||서맥||청색증||눈 주변 부종||호흡곤란||환부의 분비물||가슴 통증||두통||심부전||소양감||저혈압||폐출혈||빈혈||눈의 충혈||발적||이명||경련||서호흡||구토||물집||활력징후 이상||열||비장비대||기억장애
172,J11,71,"Influenza, virus not identified",바이러스가 확인되지 않은 인플루엔자,설사||편도선 비대||구토||두통||근육통||콧물||목의 통증||식욕부진||오한||열||기침||가래||고막 충혈
173,J12,2347,"Viral pneumonia, NEC",달리 분류되지 않은 바이러스폐렴,
174,J13,10,Pneumonia due to Streptococcus pneumoniae,폐렴연쇄구균에 의한 폐렴,오심||오한||복수||의식 변화||질식||환부 통증||발진||배뇨장애||황달||감각 과민||객혈||감각 이상||간부전||간비대||피로감||어지러움||청력장애||혼수||장마비||서맥||청색증||눈 주변 부종||호흡곤란||환부의 분비물||가슴 통증||두통||심부전||소양감||저혈압||폐출혈||빈혈||눈의 충혈||발적||이명||경련||서호흡||구토||물집||활력징후 이상||열||비장비대||기억장애
175,J15,172,"Bacterial pneumonia, NEC",달리 분류되지 않은 세균성 폐렴,오심||오한||편도선 비대||구토||관절염||딸기혀||발진||관절통||열감||환부 부종||식욕부진||관절 운동성 감소||열||설사||복부 통증
176,J16,4,"Pneumonia due to other infectious organisms, NEC",달리 분류되지 않은 기타 감염성 병원체에 의한 폐렴,압통||근육통||삼키기 곤란||발진||가래||식욕부진||눈물흘림||눈부심||오한||기운없음||피부염증||두통||열감||저혈압||눈의 충혈||호흡곤란||반점||가슴 통증||눈의 통증||목의 통증||안면홍조||열||환부 부종||기침||권태감
177,J17,71,,,Empty Icd Name
178,J18,437,"Pneumonia, organism unspecified",상세불명 병원체의 폐렴,흉수||오심||근육통||다발성 장기부전 증상||운동 시 호흡곤란||목의 통증||가래||객혈||피로감||체중감소||오한||호흡곤란||설사||심부전||두통||콧물||가슴 통증||구토||곤봉지||감기 증상||폐동맥 고혈압||열||기침||권태감
179,J20,18,Acute bronchitis,급성 기관지염,호흡곤란||가래||천명음||기침
180,J21,3,Acute bronchiolitis,급성 세기관지염,비정상적 질 분비물||오심||전신 부종||골반 통증||압통||근육통||발한||요통||다발성 관절염||청력장애||복부팽만감||식욕부진||진한 소변색||탈수||관절통||회색변||가래||결절||배뇨곤란||긴박뇨||이명||저혈량 쇼크||고름||피로감||어지러움||오한||고혈압||단백뇨||환부의 분비물||빈뇨||방사통||탁한 소변||통증 없는 부종||피부소양감||이폐색감||호흡곤란||쇼크||빈맥||설사||귀의 통증||창백||작열감||두통||배뇨 시 통증||콧물||소양감||열감||불안||산혈증||복부 불편감||가슴 통증||경련||복부 통증||비출혈||악취||구토||발진||잔뇨감||혈뇨||감기 증상||열||무뇨||피부 긴장도 저하||기침||권태감||천명음||소변량 감소||황달
181,J22,116,Unspecified acute lower respiratory infection,상세불명의 급성 하기도감염,비정상적 질 분비물||오심||전신 부종||골반 통증||압통||근육통||발한||요통||다발성 관절염||청력장애||복부팽만감||식욕부진||진한 소변색||탈수||관절통||회색변||가래||결절||배뇨곤란||긴박뇨||이명||저혈량 쇼크||고름||피로감||어지러움||오한||고혈압||단백뇨||환부의 분비물||빈뇨||방사통||탁한 소변||통증 없는 부종||피부소양감||이폐색감||호흡곤란||쇼크||빈맥||설사||귀의 통증||창백||작열감||두통||배뇨 시 통증||콧물||소양감||열감||불안||산혈증||복부 불편감||가슴 통증||경련||복부 통증||비출혈||악취||구토||발진||잔뇨감||혈뇨||감기 증상||열||무뇨||피부 긴장도 저하||기침||권태감||천명음||소변량 감소||황달
182,J40,1,"Bronchitis, not specified as acute or chronic",급성인지 만성인지 명시되지 않은 기관지염,가래||운동 시 호흡곤란||호흡곤란||기침||천명음||객혈
183,J41,1,Simple and mucopurulent chronic bronchitis,단순성 및 점액화농성 만성 기관지염,에너지가 적음||무증상||오심||복부 압박 증상||복수||후각 감소||골반 통증||어지러움||치아 벌어짐||환부 통증||복부팽만감||식욕부진||진한 소변색||비관주의||황달||코막힘||가래||객혈||마비||고혈압||가슴 답답||이명||치아 통증||고름||만성 신부전||잇몸염증||피로감||화농성 비루||안면통||관절통||붉은 색소 침착||긴박뇨||환부의 분비물||빈뇨||방사통||치아가 솟은 느낌||피부소양감||재채기||지방변||체중감소||생식기 통증||야간뇨||치아 흔들림||청력장애||배뇨곤란||설사||감각 이상||창백||소화불량||낮은 자존감||콧물||구취||빈혈||발적||복부 불편감||운동 시 호흡곤란||복부 통증||후각장애||권태감||당뇨||우유부단함||구토||혼수||귀에서 냄새가 남||토혈||배변습관의 변화||발진||면역기능 이상||잔뇨감||점액변||후비루||열||피부 긴장도 저하||기침||무맥||방광 팽만||귀의 통증
184,J43,20,Emphysema,폐기종,하지부종||가슴 답답||청색증||호흡곤란||가래||기침
185,J44,166,Other chronic obstructive pulmonary disease,기타 만성 폐색성 폐질환,에너지가 적음||무증상||오심||복부 압박 증상||복수||후각 감소||골반 통증||어지러움||치아 벌어짐||환부 통증||복부팽만감||식욕부진||진한 소변색||비관주의||황달||코막힘||가래||객혈||마비||고혈압||가슴 답답||이명||치아 통증||고름||만성 신부전||잇몸염증||피로감||화농성 비루||안면통||관절통||붉은 색소 침착||긴박뇨||환부의 분비물||빈뇨||방사통||치아가 솟은 느낌||피부소양감||재채기||지방변||체중감소||생식기 통증||야간뇨||치아 흔들림||청력장애||배뇨곤란||설사||감각 이상||창백||소화불량||낮은 자존감||콧물||구취||빈혈||발적||복부 불편감||운동 시 호흡곤란||복부 통증||후각장애||권태감||당뇨||우유부단함||구토||혼수||귀에서 냄새가 남||토혈||배변습관의 변화||발진||면역기능 이상||잔뇨감||점액변||후비루||열||피부 긴장도 저하||기침||무맥||방광 팽만||귀의 통증
186,J45,124,Asthma,천식,호흡곤란||가래||가슴 답답||천명음||기침
187,J47,17,Bronchiectasis,기관지확장증,곤봉지||체중감소||빈혈||기침||가래||천명음||객혈
188,J69,28,Pneumonitis due to solids and liquids,고체 및 액체에 의한 폐렴,부정맥||빈호흡||근육강직||대사성 산증||열
189,J80,425,Adult respiratory distress syndrome,성인호흡곤란증후군,
190,J81,11,Pulmonary oedema,폐부종,말초부종||기침||청색증||객혈||폐부종
191,J84,30,Other interstitial pulmonary diseases,기타 간질성 폐질환,단백뇨||운동 시 호흡곤란||요통||곤봉지||발진||고혈압||체중감소||긴박뇨||혈뇨||빈뇨||열||호흡곤란||기침||야간뇨||방광 팽만||가래||복부 통증||관절통
192,J90,25,"Pleural effusion, NEC",달리 분류되지 않은 흉막삼출액,
193,J91,15,,,Empty Icd Name
194,J95,3,"Postprocedural respiratory disorders, NEC",달리 분류되지 않은 처치후 호흡장애,함몰가슴||호흡곤란||청색증
195,J96,3934,"Respiratory failure, NEC",달리 분류되지 않은 호흡부전,설사||변비||수면 무호흡||체중증가||서맥||사춘기 지연||발한||악성종양발생||청색증||열||저체온||함몰가슴||호흡곤란||사시||경련||식욕증가
196,J98,90,Other respiratory disorders,기타 호흡장애,함몰가슴||호흡곤란||청색증
197,J99,3,,,Empty Icd Name
198,K12,1,Stomatitis and related lesions,구내염 및 관련 병변,하얀 반점||눈의 통증||구취||환부 통증||식욕부진||열||눈 주변 부종
199,K21,53,Gastro-oesophageal reflux disease,위-식도역류병,
200,K29,4,Gastritis and duodenitis,위염 및 십이지장염,"무증상||오심||피로감||변비||압통||근육통||손,발톱이 갈라짐||탈수||복부팽만감||트림||고름||복부 압박 증상||관절통||설사||소화불량||두통||손,발톱이 두꺼워짐||발적||복부 불편감||복부 통증||자반증||구토||말초 신경장애||토혈||위염||가슴 답답||열||권태감"
201,K35,1,Acute appendicitis,급성 충수염,설사||구토||오심||식욕부진||열||복부 통증
202,K37,1,Unspecified appendicitis,상세불명의 충수염,설사||변비||구토||압통||옆구리 통증||오심||식욕부진||열||복부 통증
203,K41,1,Femoral hernia,대퇴탈장,
204,K44,5,Diaphragmatic hernia,횡격막탈장,호흡곤란||청색증||창백||복벽이 움푹 들어감||탈장
205,K46,1,Unspecified abdominal hernia,상세불명의 복벽탈장,
206,K50,6,Crohn’s disease[regional enteritis],크론병[국소성 장염],
207,K51,2,Ulcerative colitis,궤양성 대장염,설사||변비||탈수||체중감소||점액변||빈혈||열||혈변||복부 통증
208,K52,14,Other noninfective gastroenteritis and colitis,기타 비감염성 위장염 및 결장염,설사||구토||두통||탈수||복부팽만감||열||복부 통증
